B001,U001,F001,2026-05-01,09:00,11:00,Study,APPROVED,2026-04-10T10:00,2026-05-01T08:22
B002,U002,F001,2026-05-01,11:00,13:00,Discussion,APPROVED,2026-04-10T11:00,2026-04-10T11:30
B003,U003,F002,2026-05-01,14:00,16:00,Training,APPROVED,2026-04-10T12:00,2026-04-10T12:30
B004,U004,F003,2026-05-02,09:00,11:00,Lecture,REJECTED,2026-04-11T09:00,2026-04-11T09:00
B005,U005,F004,2026-05-02,13:00,15:00,Lab Work,APPROVED,2026-04-11T10:00,2026-04-11T10:30
B006,U006,F004,2026-05-02,15:00,16:00,Assignment,REJECTED,2026-04-11T11:00,2026-04-11T11:30
B007,U007,F005,2026-05-03,10:00,12:00,Practice,PENDING,2026-04-12T08:00,2026-04-12T08:00
B008,U008,F006,2026-05-03,16:00,18:00,Sports,APPROVED,2026-04-12T09:00,2026-04-12T09:30
B009,U009,F006,2026-05-03,18:00,20:00,Training,PENDING,2026-04-12T10:00,2026-04-12T10:00
B010,U010,F007,2026-05-04,08:00,10:00,Meeting,APPROVED,2026-04-13T08:00,2026-04-13T08:30
B011,U011,F007,2026-05-04,11:00,12:00,Seminar,REJECTED,2026-04-13T09:00,2026-04-13T09:30
B012,U012,F008,2026-05-05,10:00,12:00,Discussion,PENDING,2026-04-14T10:00,2026-04-14T10:00
B013,U013,F001,2026-05-05,13:00,15:00,Study,APPROVED,2026-04-14T11:00,2026-04-14T11:30
B014,U014,F002,2026-05-06,15:00,17:00,Group Work,PENDING,2026-04-15T12:00,2026-04-15T12:00
B015,U015,F003,2026-05-06,10:00,12:00,Lecture,APPROVED,2026-04-15T13:00,2026-04-15T13:30
B016,A001,F005,2026-05-07,10:00,13:00,test,APPROVED,2026-05-02T04:20,2026-05-02T04:20
B017,U001,F001,2026-06-01,10:00,14:00,test,CANCELLED,2026-05-02T04:33,2026-05-02T04:33
B018,U001,F001,2026-05-04,13:00,14:00,test,REJECTED,2026-05-03T01:13,2026-05-03T01:16
B019,U111,F001,2026-05-04,10:00,13:00,test,APPROVED,2026-05-04T03:26,2026-05-04T03:26
